CompanyName,CompanyNumber,CompanyStatus,CompanyCategory,Website,Extracted_VAT
TLT PANEL CUTTING SERVICES LIMITED,09962882,Private Limited Company,Active,https://www.microsoft.com/en-us?msockid=098dd16ea73864ba20aac6b4a61c6583,
GUIDE AND MENTOR LIMITED,12853985,Private Limited Company,Active,https://www.merriam-webster.com/dictionary/guide,
GREENFORD 1 LIMITED,OE017414,Overseas Entity,Active,,
LEES BREWERY DIRECTORS' TRUSTEES LIMITED,06567657,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,,
SMART SPARKS SOLUTIONS LTD,12989397,Private Limited Company,Active,,
INFO MAVERICKS LTD,SC868869,Private Limited Company,Active,https://www.zhihu.com/question/292516457,
CAMELLIA&COCARE LTD,14770710,Private Limited Company,Active,,
ACS ROOFING SERVICES LTD,12998287,Private Limited Company,Active,https://www.acs.org/,
EVANS & GREAVES LTD,05499570,Private Limited Company,Active,,
RUDHRA INFO SOLUTIONS LIMITED,14400806,Private Limited Company,Active,,
TOPWORTH ENTERPRISES LIMITED,OE009908,Overseas Entity,Active,https://www.amazon.de/,
CABLE TERMINOLOGY LTD,05896764,Private Limited Company,Active,,
CHAPTER 3 LTD,16371185,Private Limited Company,Active,,
TUTELAGE CARE HATLEY LTD,14086964,Private Limited Company,Active,,
WERENT LTD,09604971,Private Limited Company,Active,,
B D INTERIOR SOLUTIONS LTD,14148374,Private Limited Company,Active,,
ADK ELECTRICAL LIMITED,16851601,Private Limited Company,Active,,
YORKSHIRE SPINE LTD,09628325,Private Limited Company,Active,,
M & J CAMPERVAN SALES AND RENTALS LIMITED,15015656,Private Limited Company,Active,,
FITNESS COORDINATES LTD,12274554,Private Limited Company,Active,,
BRITISH COUNCIL,3050942,Registered Charity,Active,https://www.britishcouncil.org,
WATERSTONES BOOKSELLERS LIMITED,610095,Private Limited Company,Active,https://www.waterstones.com/,
